epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,310.155,1.13273,0.75228,1.34935,0.95197,0.89865,0.96601,0.63069,1.19616,0.63062,1.49311,0.0014588,0.0014588,0.0014588
43,317.521,1.09019,0.71472,1.29929,0.92167,0.88514,0.93994,0.63619,1.17107,0.61668,1.47921,0.0014456,0.0014456,0.0014456
44,324.803,1.0594,0.68407,1.2804,0.9568,0.88851,0.95582,0.60981,1.20891,0.65035,1.50289,0.0014324,0.0014324,0.0014324
45,332.117,1.07672,0.70465,1.29769,0.92202,0.88176,0.94932,0.62121,1.20118,0.66685,1.49586,0.0014192,0.0014192,0.0014192
46,339.41,1.06929,0.68436,1.27923,0.92929,0.91554,0.95885,0.62532,1.20951,0.62415,1.50333,0.001406,0.001406,0.001406
47,346.751,1.06019,0.66973,1.28086,0.93794,0.92905,0.96416,0.63606,1.20017,0.59699,1.49592,0.0013928,0.0013928,0.0013928
48,354.05,1.0586,0.6902,1.28175,0.93321,0.89687,0.94905,0.61651,1.2136,0.64678,1.54905,0.0013796,0.0013796,0.0013796
49,361.321,1.06022,0.6873,1.27999,0.95739,0.9108,0.9533,0.63756,1.19035,0.57889,1.49445,0.0013664,0.0013664,0.0013664
50,368.647,1.075,0.7012,1.29411,0.94574,0.89189,0.95605,0.63471,1.1527,0.61971,1.46977,0.0013532,0.0013532,0.0013532
51,375.903,1.06829,0.67441,1.28793,0.9316,0.90878,0.9542,0.61775,1.22912,0.59602,1.52366,0.00134,0.00134,0.00134
52,383.155,1.03201,0.63823,1.26418,0.96388,0.90151,0.96871,0.62539,1.21165,0.60297,1.49099,0.0013268,0.0013268,0.0013268
53,390.452,1.03966,0.64489,1.2805,0.93227,0.92997,0.96202,0.63074,1.18465,0.61795,1.49929,0.0013136,0.0013136,0.0013136
54,397.627,1.06323,0.66023,1.28747,0.94682,0.90226,0.96569,0.61821,1.21997,0.59768,1.49676,0.0013004,0.0013004,0.0013004
55,404.777,1.03044,0.65731,1.27154,0.95409,0.9128,0.96425,0.63248,1.18188,0.55779,1.47424,0.0012872,0.0012872,0.0012872
56,412.072,1.03791,0.64815,1.27301,0.94446,0.91925,0.958,0.6167,1.21454,0.58687,1.51244,0.001274,0.001274,0.001274
57,419.344,1.02827,0.65661,1.27421,0.91424,0.89189,0.94201,0.61224,1.21867,0.63718,1.5178,0.0012608,0.0012608,0.0012608
58,426.597,0.99943,0.6276,1.24925,0.93455,0.94932,0.96807,0.6271,1.24845,0.5732,1.55255,0.0012476,0.0012476,0.0012476
59,433.896,0.99991,0.61088,1.25699,0.97538,0.93704,0.97184,0.65416,1.18909,0.53443,1.46998,0.0012344,0.0012344,0.0012344
60,441.284,1.02194,0.62116,1.25056,0.94283,0.92905,0.958,0.62075,1.22925,0.5953,1.5194,0.0012212,0.0012212,0.0012212
61,448.578,1.00193,0.61523,1.23987,0.96453,0.91554,0.96225,0.64787,1.17846,0.57227,1.48224,0.001208,0.001208,0.001208
62,455.907,0.9871,0.60844,1.24203,0.94199,0.93267,0.96209,0.65483,1.16076,0.54352,1.4673,0.0011948,0.0011948,0.0011948
63,463.18,1.0019,0.6269,1.24504,0.97014,0.90878,0.96973,0.64862,1.17795,0.58332,1.48304,0.0011816,0.0011816,0.0011816
64,470.394,0.98621,0.6097,1.24457,0.98861,0.93919,0.97209,0.65362,1.19097,0.52767,1.49649,0.0011684,0.0011684,0.0011684
65,477.636,0.97961,0.59525,1.23558,0.9483,0.9223,0.95156,0.64578,1.20484,0.59694,1.51429,0.0011552,0.0011552,0.0011552
66,484.951,0.97423,0.59043,1.22984,0.96894,0.92905,0.97061,0.65323,1.17661,0.54055,1.46582,0.001142,0.001142,0.001142
67,492.281,0.98166,0.60051,1.23904,0.94447,0.94257,0.96694,0.64931,1.1979,0.53945,1.50645,0.0011288,0.0011288,0.0011288
68,499.492,0.96779,0.58982,1.22713,0.94872,0.9223,0.96362,0.65513,1.15744,0.53496,1.47962,0.0011156,0.0011156,0.0011156
69,506.775,0.95404,0.57536,1.21679,0.95739,0.9108,0.95418,0.6294,1.22522,0.55376,1.53717,0.0011024,0.0011024,0.0011024
70,514.022,0.95513,0.56567,1.21105,0.97118,0.91081,0.96295,0.65935,1.15635,0.54221,1.47321,0.0010892,0.0010892,0.0010892
71,521.327,0.93864,0.5845,1.21553,0.96984,0.93243,0.97135,0.64766,1.18365,0.5612,1.4884,0.001076,0.001076,0.001076
72,528.618,0.96191,0.60365,1.23811,0.95845,0.93506,0.97317,0.65166,1.19598,0.55268,1.50845,0.0010628,0.0010628,0.0010628
73,535.872,0.94378,0.57004,1.21191,0.94984,0.94932,0.97089,0.65363,1.16287,0.52569,1.4792,0.0010496,0.0010496,0.0010496
74,543.123,0.95361,0.57256,1.21406,0.96454,0.91901,0.96165,0.64795,1.18205,0.53605,1.48816,0.0010364,0.0010364,0.0010364
75,550.328,0.91522,0.56625,1.1886,0.95157,0.92934,0.96016,0.6424,1.18465,0.55291,1.501,0.0010232,0.0010232,0.0010232
76,557.623,0.90604,0.56457,1.18338,0.96799,0.9223,0.96619,0.64934,1.18771,0.54721,1.50841,0.00101,0.00101,0.00101
